ID,Title,Year
1,The Irishman,2019
2,Dangal,2016
3,David Attenborough: A Life on Our Planet,2020
4,Lagaan: Once Upon a Time in India,2001
5,Roma,2018
6,To All the Boys I've Loved Before,2018
7,The Social Dilemma,2020
8,Okja,2017
9,The Ballad of Buster Scruggs,2018
10,The Trial of the Chicago 7,2020
11,Article 15,2019
12,"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017
13,Dolemite Is My Name,2019
14,Mudbound,2017
15,Swades,2004
16,Fyre,2019
17,Miss Americana,2020
18,Virunga,2014
19,Black Friday,2004
20,Talvar,2015
21,The King,2019
22,John Mulaney: Kid Gorgeous at Radio City,2018
23,I Am Mother,2019
24,Tell Me Who I Am,2019
25,The Departed,2006
26,Winter on Fire: Ukraine's Fight for Freedom,2015
27,Terminator 2: Judgment Day,1991
28,I Lost My Body,2019
29,Django Unchained,2012
30,The Half of It,2020
31,The Boy Who Harnessed the Wind,2019
32,The Devil All the Time,2020
33,The Fundamentals of Caring,2016
34,Pieces of a Woman,2020
35,Gerald's Game,2017
36,On Body and Soul,2017
37,Shutter Island,2010
38,Always Be My Maybe,2019
39,The Intouchables,2011
40,Bill Burr: Paper Tiger,2019
41,Special 26,2013
42,Kiss the Ground,2020
43,Crip Camp: A Disability Revolution,2020
44,Extraction,2020
45,No Direction Home: Bob Dylan,2005
46,Kabhi Khushi Kabhie Gham,2001
47,His House,2020
48,Super Deluxe,2019
49,The Guernsey Literary & Potato Peel Pie Society,2018
50,A Secret Love,2020
51,The Night Comes for Us,2018
52,The Big Lebowski,1998
53,Pad Man,2018
54,American Factory,2019
55,Bird Box,2018
56,The Pianist,2002
57,3 Idiots,2009
58,The Distinguished Citizen,2016
59,A Shaun the Sheep Movie: Farmageddon,2019
60,A Clockwork Orange,1971
61,What Happened to Monday,2017
62,Anthony Jeselnik: Thoughts and Prayers,2015
63,The White Helmets,2016
64,Invader ZIM: Enter the Florpus,2019
65,Happy as Lazzaro,2018
66,Chasing Coral,2017
67,Kal Ho Naa Ho,2003
68,Pan's Labyrinth,2006
69,Team Foxcatcher,2016
70,The Meyerowitz Stories (New and Selected),2017
71,Casino Royale,2006
72,The Hateful Eight,2015
73,Rush,2013
74,Zombieland,2009
75,Eurovision Song Contest: The Story of Fire Saga,2020
76,Kapoor & Sons,2016
77,The Perfection,2018
78,Dave Chappelle: Sticks & Stones,2019
79,There Will Be Blood,2007
80,Million Dollar Baby,2004
81,The Social Network,2010
82,The Christmas Chronicles,2018
83,Monty Python and the Holy Grail,1975
84,The Pixar Story,2007
85,Ma Rainey's Black Bottom,2020
86,Calibre,2018
87,Silver Linings Playbook,2012
88,Over the Moon,2020
89,"What Happened, Miss Simone?",2015
90,Nightcrawler,2014
91,1922,2017
92,Paddleton,2019
93,Cargo,2017
94,Rain Man,1988
95,Cuba and the Cameraman,2017
96,The Ritual,2017
97,The Hater,2020
98,The Edge of Democracy,2019
99,22-Jul,2018
100,Adam Sandler: 100% Fresh,2018
81,The Social Network,2010
108,Hey Arnold! The Jungle Movie,2017
168,Hunt for the Wilderpeople,2016
171,The Artist,2011
185,Underworld,2003
200,The Da Vinci Code,2006
229,Friends with Benefits,2011
249,Angels & Demons,2009
318,2012,2009
319,Underworld: Awakening,2012
328,Zack and Miri Make a Porno,2008
373,Resident Evil: Extinction,2007
390,I Am Not Your Negro,2017
416,The Lorax,2012
474,Resident Evil: Afterlife,2010
489,The 12th Man,2017
544,The Clovehitch Killer,2018
613,Step Up Revolution,2012
636,Mystic Pizza,1988
667,The Outsider,2018
726,Girl,2018
779,Christine,2016
822,The Stepfather,2009
974,Freak Show,2018
990,Little Monsters,1989
1122,Maximum Risk,1996
1315,Framing John DeLorean,2019
1327,A Perfect Ending,2012
1331,Zapped,2014
1466,The Girl King,2015
1618,Ordinary People,2016
1675,MOTHER,2020
1768,Big Time Movie,2012
1831,A Second Chance,2015
2002,Mosquita y Mari,2012
2123,Sabrina,2018
2260,Born to Play,2020
2703,A Fairly Odd Summer,2014
3308,Still,2010
3659,"""Karol Modzelewski","Łukasz „Lotek"""" Lodkowski No Offense"""
3696,The Dark Knight,2008
3697,Minding the Gap,2018
3698,Parasite,2019
3699,Batman Begins,2005
3700,Gone Girl,2014
3701,Catch Me If You Can,2002
3702,The Terminator,1984
3703,Arrival,2016
3704,Prisoners,2013
3705,Bohemian Rhapsody,2018
3706,Shrek,2001
3707,12 Years a Slave,2013
3708,Slumdog Millionaire,2008
3709,Skyfall,2012
3710,Stand by Me,1986
3711,The Girl with the Dragon Tattoo,2011
3712,Big Fish,2003
3713,Happiest Season,2020
3714,Kick-Ass,2010
3715,(500) Days of Summer,2009
3716,28 Days Later,2002
3717,Once Upon a Time in the West,1968
3718,Predator,1987
3719,Big Time Adolescence,2020
3720,Ice Age,2002
3721,The Shape of Water,2017
3722,The Iron Giant,1999
3723,50/50,2011
3724,Memories of Murder,2003
3725,Beetlejuice,1988
3726,Train to Busan,2016
3727,Lucky Number Slevin,2006
3728,127 Hours,2010
3729,Mission: Impossible - Ghost Protocol,2011
3730,Akira,1988
3731,Shrek 2,2004
3732,Let the Right One In,2008
3733,Hell or High Water,2016
3734,The Nice Guys,2016
3735,RoboCop,1987
3736,Star Trek Beyond,2016
3737,Jack Reacher,2012
3738,Another Round,2020
3739,Portrait of a Lady on Fire,2019
3740,The Secret Life of Walter Mitty,2013
3741,Dumb and Dumber,1994
3742,Palm Springs,2020
3743,Flight,2012
3744,I Saw the Devil,2010
3745,The Mask,1994
3746,Collective,2020
3747,Rocketman,2019
3748,Sweeney Todd: The Demon Barber of Fleet Street,2007
3749,Coherence,2013
3750,Nomadland,2021
3751,Enemy at the Gates,2001
3752,Space Jam,1996
3753,Sunshine,2007
3754,Becoming Bond,2017
3755,Galaxy Quest,1999
117,The Terminal,2004
156,Seven Pounds,2008
159,Les Misérables,2012
185,Underworld,2003
186,The Ring,2002
311,Green Zone,2010
327,Home,2015
328,Zack and Miri Make a Porno,2008
335,No Strings Attached,2011
360,Election,1999
381,Twilight,2008
401,Fractured,2019
408,She's Out of My League,2010
411,The Manchurian Candidate,2004
413,Hot Rod,2007
448,A Christmas Prince,2017
457,Surf's Up,2007
469,Stree,2018
502,The American,2010
504,Forgotten,2017
529,Pari,2018
535,Underdogs,2013
537,Fun with Dick and Jane,2005
541,Highway,2014
559,Not Another Teen Movie,2001
567,Case 39,2009
583,Mother's Day,2016
585,Creep,2014
604,Takers,2010
606,City of Joy,2016
626,Circle,2015
631,Jab We Met,2007
647,Your Highness,2011
667,The Outsider,2018
678,World Trade Center,2006
764,Abduction,2011
797,Beats,2019
814,The Long Riders,1980
822,The Stepfather,2009
824,The Sweetest Thing,2002
830,The Prince & Me,2004
894,Rock On!!,2008
898,Kicking and Screaming,1995
903,The Climb,2017
935,"Yours, Mine & Ours",2005
964,Awake,2021
1066,Jeff Dunham: Arguing with Myself,2006
1081,The Debt Collector,2018
1099,The International,2006
1116,Monster,2021
1216,The Wild Thornberrys Movie,2002
1241,Benji,2018
1253,U Turn,2016
1278,Tom Segura: Completely Normal,2014
1328,Raising Victor Vargas,2002
1331,Zapped,2014
1338,I Am Kalam,2010
1344,Cloudburst,2011
1380,The Saint,2017
1381,Atlas Shrugged: Part II,2012
1415,One Day,2016
1430,Jeff Dunham: Controlled Chaos,2011
1466,The Girl King,2015
1482,Bliss,1997
1498,Snow Day,2000
1510,Accident,2009
1519,Raising the Bar,2017
1528,Jeff Dunham's Very Special Christmas Special,2008
1638,Mike Birbiglia: What I Should Have Said Was Nothing,2008
1648,Bébé's Kids,1992
1709,Jeff Dunham: Minding the Monsters,2012
1712,I See You,2017
1753,Line Walker,2016
1754,Tim Minchin: So F**king Rock Live,2008
1792,Jeff Dunham: All Over the Map,2014
1798,Martial Arts of Shaolin,1986
1817,Jeff Dunham: Unhinged in Hollywood,2015
1831,A Second Chance,2015
1853,Sahara,2017
1854,Taramani,2017
1976,Tom Papa: Live in New York City,2011
2076,Whitney Cummings: Money Shot,2010
2094,The Blazing Sun,1954
2169,Break,2018
2171,For the Birds,2018
2173,Door Ke Darshan,2020
2203,Children of God,1994
2235,House Arrest,2019
2244,Back of the Net,2019
2247,Paradise Lost,2018
2334,Lionheart,2018
2349,Redemption,2019
2364,Maska,2020
2412,Hero,1997
2452,Pants on Fire,2014
2480,Maria Bamford: The Special Special Special!,2012
2708,Casino Tycoon,1992
