ID,RottenTomatoes
1,98.0
2,97.0
3,95.0
4,94.0
5,94.0
6,94.0
7,93.0
8,92.0
9,92.0
10,92.0
11,92.0
12,92.0
13,92.0
14,91.0
15,91.0
16,91.0
17,90.0
18,90.0
19,90.0
20,90.0
21,90.0
22,89.0
23,89.0
24,89.0
25,89.0
26,89.0
27,89.0
28,89.0
29,89.0
30,89.0
31,89.0
32,89.0
33,89.0
34,88.0
35,88.0
36,88.0
37,88.0
38,88.0
39,88.0
40,87.0
41,87.0
42,87.0
43,87.0
44,87.0
45,87.0
46,87.0
47,87.0
48,87.0
49,87.0
50,87.0
51,87.0
52,87.0
53,87.0
54,86.0
55,86.0
56,86.0
57,86.0
58,86.0
59,86.0
60,86.0
61,86.0
62,86.0
63,86.0
64,86.0
65,85.0
66,85.0
67,85.0
68,85.0
69,85.0
70,85.0
71,85.0
72,85.0
73,84.0
74,84.0
75,84.0
76,84.0
77,84.0
78,84.0
79,84.0
80,84.0
81,84.0
82,84.0
83,84.0
84,84.0
85,84.0
86,84.0
87,84.0
88,84.0
89,84.0
90,84.0
91,84.0
92,84.0
93,84.0
94,83.0
95,83.0
96,83.0
97,83.0
98,83.0
99,83.0
100,83.0
108,83.0
117,82.0
156,80.0
159,80.0
168,80.0
171,79.0
185,79.0
186,79.0
200,78.0
229,77.0
249,76.0
271,76.0
311,75.0
318,75.0
319,74.0
327,74.0
328,74.0
335,74.0
360,73.0
373,73.0
381,73.0
390,73.0
401,73.0
408,72.0
411,72.0
413,72.0
416,72.0
448,72.0
457,71.0
469,71.0
474,71.0
489,71.0
502,70.0
504,70.0
529,70.0
535,70.0
537,70.0
541,70.0
544,70.0
559,69.0
567,69.0
583,69.0
585,69.0
604,68.0
606,68.0
613,68.0
626,68.0
631,68.0
636,68.0
647,67.0
667,67.0
678,67.0
713,67.0
726,66.0
764,66.0
779,65.0
797,65.0
814,65.0
822,65.0
824,65.0
830,65.0
894,64.0
898,64.0
903,64.0
935,63.0
964,63.0
974,63.0
990,63.0
1066,61.0
1081,61.0
1099,61.0
1116,61.0
1122,61.0
1216,60.0
1241,59.0
1253,59.0
1278,59.0
1315,59.0
1327,59.0
1328,59.0
1331,59.0
1338,58.0
1344,58.0
1380,58.0
1381,58.0
1415,58.0
1430,57.0
1466,57.0
1482,57.0
1498,57.0
1510,57.0
1519,57.0
1528,56.0
1618,56.0
1638,55.0
1648,55.0
1675,55.0
1709,55.0
1712,55.0
1753,54.0
1754,54.0
1768,54.0
1792,54.0
1798,54.0
1814,54.0
1817,54.0
1831,54.0
1853,53.0
1854,53.0
1976,52.0
2002,52.0
2030,51.0
2076,51.0
2094,51.0
2123,51.0
2169,50.0
2171,50.0
2173,50.0
2203,50.0
2235,50.0
2244,50.0
2247,50.0
2260,49.0
2334,49.0
2349,49.0
2364,49.0
2412,48.0
2452,48.0
2480,48.0
2703,45.0
2708,45.0
2876,44.0
2897,43.0
2917,43.0
3308,39.0
3659,Unknown
3696,94.0
3697,90.0
3698,88.0
3699,88.0
3700,87.0
3701,87.0
3702,87.0
3703,86.0
3704,86.0
3705,85.0
3706,85.0
3707,85.0
3708,85.0
3709,84.0
3710,84.0
3711,84.0
3712,84.0
3713,83.0
3714,83.0
3715,83.0
3716,83.0
3717,83.0
3718,83.0
3719,83.0
3720,82.0
3721,82.0
3722,82.0
3723,82.0
3724,81.0
3725,81.0
3726,81.0
3727,81.0
3728,81.0
3729,81.0
3730,81.0
3731,81.0
3732,81.0
3733,81.0
3734,81.0
3735,80.0
3736,80.0
3737,80.0
3738,80.0
3739,80.0
3740,80.0
3741,80.0
3742,79.0
3743,79.0
3744,79.0
3745,79.0
3746,79.0
3747,79.0
3748,79.0
3749,79.0
3750,79.0
3751,79.0
3752,79.0
3753,79.0
3754,78.0
3755,78.0
3959,67.0
4132,62.0
4187,60.0
4204,60.0
4513,50.0
4847,73.0
4864,72.0
5418,60.0
5485,59.0
5604,58.0
5614,58.0
5677,57.0
5763,56.0
7019,46.0
7251,44.0
7654,42.0
8616,96.0
8617,90.0
8618,90.0
8619,89.0
8620,89.0
8621,89.0
8622,89.0
8623,89.0
8624,88.0
8625,88.0
8626,88.0
8627,88.0
8628,88.0
8629,87.0
8630,87.0
8631,87.0
8632,87.0
8633,86.0
8634,86.0
8635,86.0
8636,86.0
8637,86.0
8638,86.0
8639,86.0
8640,86.0
8641,85.0
8642,85.0
8643,85.0
8644,85.0
8645,85.0
8646,85.0
8647,84.0
8648,84.0
8649,84.0
8650,84.0
8651,84.0
8652,84.0
8653,84.0
8654,83.0
8655,83.0
8656,83.0
8657,83.0
8658,83.0
8659,83.0
8660,83.0
8661,83.0
8662,83.0
8663,82.0
8664,82.0
8665,82.0
8666,82.0
8667,82.0
8668,82.0
8669,82.0
8670,82.0
8671,82.0
8672,82.0
8673,81.0
8674,81.0
8675,81.0
8676,81.0
8677,81.0
8678,81.0
8679,81.0
8680,81.0
8681,81.0
8682,81.0
8683,81.0
8684,80.0
8685,80.0
8686,80.0
8687,80.0
8688,80.0
8689,80.0
8690,80.0
8691,79.0
8692,79.0
8693,79.0
